,sex,has_mobile,followers_count,graduation,relation,result,declared_langs,num_langs,city_freq,edu_Alumnus (Bachelor's),edu_Alumnus (Master's),edu_Alumnus (Specialist),edu_Candidate of Sciences,edu_PhD,edu_Student (Bachelor's),edu_Student (Master's),edu_Student (Specialist),edu_Undergraduate applicant,form_Distance Learning,form_Full-time,form_Part-time,form_nan,occ_university,occ_work,occ_nan
39,1,1.0,464.0,2011.0,1.0,1,1,1.0,75.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
40,1,1.0,62.0,2001.0,4.0,0,0,1.0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
41,1,1.0,78.0,2004.0,4.0,0,1,1.0,1.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
42,0,1.0,172.0,0.0,1.0,1,1,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
43,1,1.0,8.0,2016.0,4.0,0,1,3.0,111.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
44,0,1.0,495.0,2021.0,0.0,1,1,2.0,58.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
45,0,1.0,306.0,2016.0,0.0,1,1,1.0,111.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
46,1,1.0,78.0,2011.0,4.0,0,1,1.0,6.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
47,1,1.0,7363.0,2016.0,0.0,0,1,2.0,1010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
48,0,1.0,303.0,2008.0,0.0,1,1,2.0,96.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
49,1,1.0,162.0,1989.0,0.0,1,1,1.0,35.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
50,0,1.0,182.0,1945.0,0.0,1,1,1.0,1371.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
51,1,1.0,20.0,1940.0,1.0,0,0,1.0,68.0,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
52,1,1.0,44.0,2003.0,0.0,1,1,1.0,13.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
53,1,1.0,453.0,2009.0,2.0,0,1,2.0,13.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
54,1,1.0,438.0,1999.0,4.0,1,0,1.0,7.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
55,1,1.0,151.0,2017.0,0.0,0,0,1.0,1010.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
56,0,1.0,307.0,2015.0,0.0,1,1,1.0,19.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
57,1,1.0,133.0,2011.0,0.0,0,1,1.0,19.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
58,0,1.0,539.0,2018.0,1.0,1,0,1.0,219.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
59,0,1.0,105.0,2010.0,4.0,1,1,2.0,58.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
60,1,1.0,561.0,2009.0,0.0,1,1,1.0,1010.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
61,1,1.0,580.0,0.0,1.0,1,1,4.0,75.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
62,0,1.0,19.0,2005.0,0.0,1,1,1.0,13.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
63,1,1.0,2314.0,0.0,1.0,0,1,1.0,1010.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
64,0,1.0,44.0,2011.0,4.0,1,1,1.0,39.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
65,0,1.0,337.0,2015.0,4.0,1,0,1.0,90.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
66,0,1.0,97.0,0.0,1.0,1,1,1.0,19.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
67,0,1.0,101.0,2012.0,4.0,1,1,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
68,1,1.0,370.0,2014.0,1.0,0,1,3.0,21.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
69,0,1.0,1313.0,2011.0,4.0,0,1,1.0,162.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
70,0,1.0,2269.0,2009.0,4.0,1,1,1.0,68.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
71,1,1.0,95.0,2009.0,4.0,0,0,1.0,4.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
72,0,1.0,204.0,2018.0,1.0,1,1,1.0,84.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
73,0,1.0,351.0,0.0,4.0,1,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
74,1,1.0,201.0,2006.0,0.0,0,1,1.0,1371.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
75,0,1.0,116.0,2006.0,0.0,1,0,1.0,1371.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
76,1,1.0,127.0,2014.0,1.0,1,0,1.0,1371.0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
77,1,1.0,41.0,0.0,1.0,0,1,1.0,13.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
78,1,1.0,73.0,2005.0,4.0,0,0,1.0,37.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
79,0,1.0,634.0,2013.0,0.0,1,0,1.0,91.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
80,0,1.0,1191.0,2012.0,4.0,1,0,1.0,1371.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
81,1,1.0,110.0,2013.0,0.0,1,1,3.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
82,1,1.0,72.0,2015.0,0.0,0,0,1.0,9.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
83,1,1.0,154.0,2014.0,1.0,0,1,1.0,162.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
84,1,1.0,33.0,2011.0,0.0,0,1,3.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
85,1,1.0,401.0,2011.0,1.0,0,1,1.0,10.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
86,0,1.0,145.0,2013.0,0.0,1,0,1.0,1010.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
87,1,1.0,186.0,0.0,1.0,0,1,1.0,18.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
88,1,1.0,85.0,2009.0,0.0,0,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
89,0,1.0,148.0,2007.0,4.0,1,0,1.0,108.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
90,1,1.0,126.0,0.0,0.0,0,0,1.0,75.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
91,0,1.0,783.0,2012.0,0.0,1,1,1.0,1371.0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
92,0,1.0,28.0,2000.0,4.0,0,1,1.0,82.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
93,1,0.0,153.0,2010.0,4.0,0,1,1.0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
94,1,1.0,343.0,2015.0,0.0,0,1,1.0,38.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
95,1,1.0,56.0,2005.0,0.0,1,1,1.0,1371.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
96,0,1.0,518.0,0.0,4.0,1,1,1.0,1.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
97,1,1.0,104.0,2015.0,1.0,0,1,1.0,2.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
98,1,1.0,624.0,2011.0,0.0,0,1,1.0,109.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
99,1,1.0,200.0,2003.0,4.0,0,1,1.0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
100,1,1.0,373.0,2016.0,0.0,0,1,1.0,58.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
101,0,1.0,1292.0,2005.0,0.0,1,1,1.0,90.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
102,1,1.0,247.0,2008.0,1.0,0,1,1.0,22.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
103,1,1.0,174.0,2007.0,1.0,0,1,1.0,58.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
104,1,1.0,192.0,2017.0,0.0,0,1,3.0,1010.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
105,1,1.0,38.0,2000.0,0.0,1,0,1.0,111.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
106,0,1.0,25.0,2009.0,5.0,1,0,1.0,84.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
107,1,0.0,91.0,2014.0,0.0,0,1,1.0,108.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
108,1,1.0,43.0,2008.0,4.0,0,1,1.0,96.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
109,0,1.0,257.0,2013.0,0.0,1,1,3.0,1371.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
110,0,1.0,155.0,2016.0,1.0,1,0,1.0,1010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
111,0,1.0,1629.0,2014.0,0.0,1,0,1.0,101.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
112,1,1.0,303.0,2007.0,4.0,0,1,3.0,1.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
113,0,1.0,530.0,2011.0,0.0,1,1,1.0,30.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
114,1,1.0,50.0,2015.0,4.0,0,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
115,0,1.0,130.0,2013.0,4.0,1,0,1.0,108.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
116,1,1.0,42.0,2013.0,4.0,0,1,1.0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
117,1,1.0,358.0,2018.0,0.0,0,1,1.0,162.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
118,1,1.0,53.0,2007.0,4.0,1,1,1.0,23.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
119,0,1.0,104.0,2003.0,4.0,1,0,1.0,8.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
120,0,1.0,767.0,2003.0,4.0,1,1,1.0,13.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
121,1,1.0,7.0,2007.0,0.0,0,1,1.0,84.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
122,0,1.0,279.0,2012.0,4.0,1,0,1.0,58.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
123,0,1.0,922.0,2021.0,4.0,1,0,1.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
124,0,1.0,869.0,2011.0,0.0,1,1,1.0,162.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
125,1,1.0,80.0,2011.0,4.0,1,1,1.0,1010.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
126,0,1.0,623.0,0.0,4.0,1,1,1.0,1010.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
127,1,1.0,94.0,2011.0,0.0,0,1,1.0,162.0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
128,1,1.0,202.0,2016.0,0.0,1,1,6.0,1371.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
129,0,1.0,217.0,2001.0,4.0,1,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
130,1,1.0,81.0,2005.0,4.0,0,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
131,1,1.0,95.0,2003.0,4.0,0,1,1.0,162.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
132,1,1.0,82.0,2014.0,4.0,0,0,1.0,16.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
133,1,1.0,62.0,0.0,0.0,0,1,1.0,1371.0,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
134,0,1.0,323.0,2016.0,0.0,1,0,1.0,1010.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
135,0,1.0,118.0,2015.0,0.0,1,0,1.0,1.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
136,1,1.0,180.0,0.0,0.0,1,1,3.0,1010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
137,0,1.0,339.0,2016.0,4.0,1,1,2.0,162.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
138,0,1.0,29.0,0.0,0.0,1,0,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
139,0,1.0,454.0,2012.0,4.0,1,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
140,0,1.0,40.0,2002.0,0.0,1,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
141,1,1.0,190.0,2013.0,1.0,0,1,3.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
142,0,1.0,975.0,2014.0,0.0,1,1,2.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
143,1,1.0,83.0,0.0,7.0,0,1,1.0,1371.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
144,0,1.0,1960.0,2015.0,1.0,1,1,1.0,1.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
145,1,1.0,33.0,2000.0,1.0,0,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
146,0,1.0,225.0,0.0,4.0,1,1,2.0,1371.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
147,1,1.0,215.0,2011.0,0.0,1,1,4.0,6.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
148,1,1.0,578.0,2007.0,4.0,0,1,3.0,44.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
149,0,1.0,146.0,2014.0,0.0,1,1,3.0,2.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
150,1,1.0,221.0,2016.0,4.0,0,1,1.0,82.0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
151,1,1.0,24.0,2010.0,4.0,0,1,1.0,58.0,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
152,1,1.0,252.0,2016.0,7.0,1,1,1.0,75.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
153,0,1.0,1772.0,2010.0,4.0,1,1,1.0,22.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
154,0,1.0,4588.0,2010.0,4.0,1,1,1.0,1010.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
155,1,1.0,333.0,2015.0,2.0,1,1,2.0,96.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
156,1,1.0,65.0,2005.0,0.0,0,1,1.0,96.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
157,0,1.0,99.0,2006.0,4.0,1,1,1.0,1010.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
158,0,1.0,215.0,0.0,0.0,1,1,1.0,1010.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
159,1,1.0,217.0,2012.0,1.0,0,1,1.0,1371.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
160,0,1.0,41.0,0.0,0.0,1,0,1.0,20.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
161,0,1.0,22.0,2000.0,0.0,1,1,1.0,162.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
162,1,1.0,115.0,2005.0,0.0,1,1,1.0,19.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
163,1,1.0,75.0,2016.0,0.0,0,1,2.0,96.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
164,1,1.0,1003.0,2016.0,0.0,0,1,1.0,1371.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
165,0,1.0,512.0,0.0,4.0,1,1,1.0,1371.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
166,1,1.0,540.0,2017.0,4.0,0,1,1.0,1010.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
167,0,1.0,997.0,2016.0,0.0,1,1,1.0,1010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
168,1,1.0,116.0,2012.0,0.0,0,1,1.0,1371.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
169,1,1.0,245.0,2011.0,1.0,0,1,3.0,3.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
170,1,1.0,352.0,2013.0,4.0,0,1,1.0,6.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
171,0,1.0,2655.0,2014.0,7.0,1,0,1.0,219.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
172,1,1.0,89.0,2007.0,0.0,0,1,1.0,16.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
173,0,1.0,153.0,2014.0,0.0,1,0,1.0,105.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
174,0,1.0,171.0,1992.0,4.0,1,1,1.0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
175,1,1.0,101.0,2009.0,1.0,0,1,1.0,1010.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
176,0,1.0,214.0,2014.0,0.0,0,1,1.0,29.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
177,1,1.0,5.0,1977.0,4.0,1,1,1.0,6.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
178,1,1.0,34.0,2009.0,4.0,0,0,1.0,162.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
179,0,1.0,295.0,2013.0,4.0,1,0,1.0,39.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
180,0,1.0,180.0,2012.0,4.0,1,1,1.0,96.0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
181,0,1.0,269.0,0.0,4.0,1,1,1.0,41.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
182,1,1.0,190.0,2013.0,4.0,0,1,1.0,36.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
183,1,1.0,374.0,2017.0,0.0,0,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
184,1,1.0,60894.0,0.0,4.0,1,1,5.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
185,1,1.0,139.0,2004.0,4.0,0,1,1.0,4.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
186,0,1.0,922.0,2014.0,1.0,0,1,3.0,96.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
187,1,1.0,245.0,2012.0,7.0,1,1,2.0,101.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
188,0,1.0,300.0,2016.0,1.0,1,1,2.0,219.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
189,0,1.0,366.0,2011.0,0.0,1,0,1.0,15.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
190,0,1.0,846.0,2016.0,1.0,1,1,2.0,1371.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
191,0,1.0,0.0,2010.0,1.0,1,1,2.0,43.0,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
192,0,1.0,209.0,2010.0,0.0,1,0,1.0,84.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
193,1,1.0,63.0,2006.0,1.0,0,1,2.0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
194,0,1.0,1116.0,0.0,0.0,1,0,1.0,28.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
195,1,1.0,207.0,2021.0,0.0,0,1,2.0,1371.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
196,1,1.0,172.0,2007.0,4.0,0,1,3.0,3.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
197,0,1.0,1741.0,0.0,0.0,1,1,1.0,1371.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
198,1,1.0,39.0,2001.0,4.0,0,1,1.0,1371.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
199,1,1.0,245.0,2006.0,1.0,0,1,1.0,16.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
200,0,1.0,19010.0,2013.0,0.0,1,0,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
201,0,1.0,47.0,1993.0,4.0,1,1,2.0,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
202,0,1.0,561.0,2019.0,1.0,1,0,1.0,1010.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
203,0,1.0,38.0,2007.0,0.0,1,0,1.0,19.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
204,0,1.0,557.0,2004.0,1.0,1,1,1.0,22.0,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False
205,1,1.0,17.0,2006.0,4.0,0,1,1.0,111.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
206,0,1.0,11740.0,2012.0,1.0,1,1,2.0,1010.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
207,1,1.0,274.0,2013.0,7.0,1,1,1.0,38.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
